food_item,calories,proteins,carbohydrates,fats,fibers,sugars,category,sodium,cholesterol,meal_type,water_intake,source_file
"INF FORM,MEAD JOHN,NEXT STEP,PROS LIPIL,PDR,W/ ARA & DHA",480.0,15.6,57.1,21.0,0.0,56.0,,171.0,0.0,,,Food_4.csv
"INF FORM,ME JO,NEXT STEP,PROSO,LIPIL,REATO FEED,W/ ARA & DHA",67.0,2.14,8.09,2.91,0.0,7.77,,23.0,0.0,,,Food_4.csv
"INF FORMULA,NESTLE,GOOD START SOY,W/ ARA & DHA,PDR",503.0,12.5,55.6,25.6,0.0,44.38,,200.0,6.0,,,Food_4.csv
"INF FORMULA, MEAD JOHNSON, ENFAMIL, LACTOFREE, RTF",63.0,1.38,7.18,3.5,0.0,7.18,,19.0,1.0,,,Food_4.csv
"INF FORMULA,MEAD JOHNSON,ENFAMIL,LACTOFREE,W/ IRN,PDR,NOTREC",521.0,10.85,57.0,28.0,0.0,57.0,,156.0,8.0,,,Food_4.csv
"CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)",99.0,2.8,11.28,4.7,0.5,7.6,,36.0,2.0,,,Food_4.csv
"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,RTF",65.0,1.7,8.54,2.7,0.0,6.19,,25.0,1.0,,,Food_4.csv
"INF FORMULA, NE,GOO STAR 2 ESSENT,W/ IRON,LIQ CONC,NOT RECON",125.0,3.25,16.5,5.13,0.0,11.9,,49.0,2.0,,,Food_4.csv
"INF FORMULA,NESTLE,GOOD START 2 ESSENTIALS,W/ IRON,PDR",471.0,12.2,62.23,19.3,0.0,44.3,,184.0,6.0,,,Food_4.csv
"INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,W/ IRON,RTF",65.0,1.63,7.17,3.3,0.0,5.69,,23.0,0.0,,,Food_4.csv
"INF FORM,NEST,GOOD START ESSENT SOY,W/ IRON,LIQ CON,NOT RECO",128.0,3.2,14.1,6.5,0.0,11.2,,46.0,0.0,,,Food_4.csv
"INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,W/ IRON,PDR",502.0,12.5,55.7,25.5,0.0,44.38,,180.0,0.0,,,Food_4.csv
"INF FORMULA, MEAD JOHNSON,NEXT STEP PROSOBEE,PDR,NOT RECON",480.0,15.6,57.1,21.0,0.0,56.0,,171.0,0.0,,,Food_4.csv
"INF FORMULA,MEAD JOHNSON,NEXT STEP PROSOBEE,PREP FROM PDR",67.0,2.14,8.08,2.91,0.0,7.77,,23.0,0.0,,,Food_4.csv
"BABYFOOD,CORN & SWT POTATOES,STR",68.0,1.26,15.23,0.28,1.8,4.0,,14.0,1.0,,,Food_4.csv
"INF FORM, ABBO NUTR, SIMIL, ALIMENT, ADVAN, RTF,W/ ARA & DHA",67.0,1.8,6.77,3.63,0.0,4.4,,29.0,1.0,,,Food_4.csv
"INF FORMULA,PBM PRODUC,STO BRA,RTF (FORMERLY WYETH-AYERST)",63.0,1.4,6.39,3.5,0.0,6.4,,14.0,4.0,,,Food_4.csv
"INF FORM,PBM PROD,STORE BRAND,LC,NOT REC (FORM WYETH-AYERST)",130.0,2.9,13.9,7.0,0.0,13.9,,29.0,8.0,,,Food_4.csv
"INF FORMULA,PBM PRODUCTS,STORE BRAND,PDR",524.0,12.0,56.0,28.0,0.0,56.0,,118.0,32.0,,,Food_4.csv
"INF FORMULA,PBM PRODUCTS,STORE BRAND,SOY,RTF",63.0,1.8,6.09,3.5,0.0,6.1,,18.0,0.0,,,Food_4.csv
"INF FORMU,PBM PRODU,STORE BR,SOY,LIQ CONC,NOT RECON",126.0,3.6,12.18,7.0,0.0,12.18,,36.0,0.0,,,Food_4.csv
"INF FORMULA,PBM PRODUCTS,STORE BRAND,SOY,PDR",508.0,13.6,52.2,27.2,0.0,52.2,,151.0,0.0,,,Food_4.csv
"INF FORMULA, MEAD JOHNS, ENFAMI, AR LIPIL, RTF,W/ ARA & DHA",68.0,1.71,7.53,3.49,0.0,6.44,,27.0,1.0,,,Food_4.csv
"INF FORMULA, MEA JOHNSO, ENFAMI, AR LIPIL, PDR, W/ ARA & DHA",509.0,12.73,56.03,25.97,0.0,56.03,,204.0,17.0,,,Food_4.csv
"INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA",69.0,1.92,6.94,3.77,0.0,6.9,,23.0,2.0,,,Food_4.csv
"INF FORMULA, ABBOTT, SIMILAC, NEOSURE, PDR, W/ ARA & DHA",520.0,14.42,51.75,28.33,0.0,52.02,,170.0,14.0,,,Food_4.csv
"INF FORMULA, ABB NUTR, SIMI,SENS (LACT FRE) RTF,W/ ARA & DHA",68.0,1.48,7.4,3.74,0.0,7.4,,21.0,2.0,,,Food_4.csv
"INF FORMULA, ABB NUT,SIMIL,SENS,(LACT FR),LIQ CON,W/ AR & DH",128.0,2.73,13.64,6.95,0.0,13.78,,39.0,4.0,,,Food_4.csv
"INF FORMULA, ABB NUTR,SIMIL,SENS,(LACTO FR), PD, W/ ARA & DH",520.0,11.13,55.67,28.14,0.0,55.67,,158.0,15.0,,,Food_4.csv
"INF FORMULA, ABBOTT NUTR, SIMILAC, ADVANCE, W/ IRON, RTF",66.0,1.36,6.77,3.7,0.0,6.9,,16.0,2.0,,,Food_4.csv
"INF FORMULA,ABBOTT NUTR,SIMILAC,ADVANC,W/ IRON,PDR,NOT RECON",522.0,10.89,54.73,28.87,0.0,54.73,,126.0,14.0,,,Food_4.csv
"INF FORMU,ABBO NUTR,SIMILAC,ADVAN,W/ IRON,LIQ CONC,NOT RECON",127.0,2.64,13.52,6.89,0.0,13.52,,31.0,3.0,,,Food_4.csv
"INF FORMULA, ABB NUTR, SIMIL, ISOMIL, ADVA W/ IRON,LIQ CONC",128.0,3.13,13.21,6.98,0.0,13.1,,56.0,0.0,,,Food_4.csv
"INF FORMULA, ABBO NUTR,SIMIL,ISOMIL, ADVANCE W/ IRON,RTF",66.0,1.61,6.7,3.59,0.0,6.7,,29.0,0.0,,,Food_4.csv
"INF FORMULA, ABB NUTR, SIMI, ISOMI, ADVAN W/ IRO ,PD,NOT REC",517.0,12.6,53.57,28.09,0.0,52.97,,226.0,0.0,,,Food_4.csv
"INF FORMULA,MEAD JOHNSON,ENFAMIL,ENFACARE LIPIL,RTF, ARA&DHA",71.0,2.0,7.4,3.8,0.0,7.4,,25.0,1.0,,,Food_4.csv
"BABYFOOD,YOG,WHL MILK,W/ FRUIT,MULTIG CRL & ADD DHA FORT",98.0,3.4,13.22,3.53,0.3,11.46,,41.0,14.0,,,Food_4.csv
"INF FORM,ABBOTT,ALIMENTUM ADVANCE,IRON,PDR,NOTREC,DHA&ARA",517.0,13.99,51.91,28.19,0.0,34.18,,224.0,8.0,,,Food_4.csv
"BABYFOOD,MSHD CHEDDAR POTATOES&BROCCOLI,TODDLER",48.0,1.11,7.47,1.47,1.2,1.17,,176.0,4.0,,,Food_4.csv
"INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,DHA & ARA,RTF",66.0,1.45,7.39,3.37,0.0,5.0,,18.0,4.0,,,Food_4.csv
"INF FORM,NESTLE,GOOD START SUPREME,IRON,DHA&ARA,PRP FR LC",66.0,1.45,7.39,3.37,0.0,5.0,,18.0,4.0,,,Food_4.csv
"INFFORM,MEADJOHNSON,ENFAMIL GENTLEASE LIPIL,W/IRON,PREPFRPDR",63.0,1.52,6.39,3.5,0.0,6.44,,21.0,0.0,,,Food_4.csv
"BABYFOOD,FORT CRL BAR,FRUIT FILLING",344.0,5.43,68.63,5.3,1.7,42.0,,157.0,1.0,,,Food_4.csv
"BABYFOOD,YOGU,WHL MILK,W/ FRUI,MULTIGRA CRL & ADD IRON FORT",92.0,3.05,13.0,3.08,0.6,11.46,,38.0,10.0,,,Food_4.csv
"INF FORMULA,NESTLE,GOOD START SOY,W/ DHA & ARA,LIQ CONC",132.0,3.31,14.71,6.67,0.0,11.74,,53.0,2.0,,,Food_4.csv
"TODDL FORM,ME JOHN,ENFA,PREM (FORME ENL,LIPIL,NEXT STEP),PDR",501.0,13.0,56.0,26.9,0.0,53.0,,210.0,7.0,,,Food_4.csv
"TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF",64.0,1.78,7.18,3.63,0.0,7.18,,25.0,1.0,,,Food_4.csv
"INF FORMULA,MEAD JOHNSON,ENFAMIL,GENTLEASE,PDR",514.0,11.8,56.0,27.0,0.0,56.0,,185.0,0.0,,,Food_4.csv
"INF FORMULA, MEAD JOHNS, ENFAMIL, ENFAGROW, GENTLEA,TOD, RTF",66.0,1.71,6.9,3.5,0.0,6.9,,26.0,0.0,,,Food_4.csv
"INF FORMULA, MEAD JOHNSON, ENFAMIL, ENFAGROW, SOY, TODD RTF",65.0,2.17,7.64,2.89,0.0,7.64,,24.0,0.0,,,Food_4.csv
"INF FORMULA,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN AA,RTF",66.0,1.84,6.76,3.48,0.0,6.76,,31.0,0.0,,,Food_4.csv
"INF FORMULA,MEAD JOHNSON,ENFAMIL,PREMATURE,20 CAL RTF",66.0,1.97,7.21,3.34,0.0,7.2,,38.0,0.0,,,Food_4.csv
"INF FORMULA,MEAD JOHNSON,ENFAMIL,PREMATURE,24 CALO RTF",67.0,1.97,7.19,3.34,0.0,7.21,,38.0,0.0,,,Food_4.csv
"INF FORMULA,MEAD JOHNSON,ENFAMIL,PREMIUM,NEWBORN,RTF",66.0,1.38,7.39,3.48,0.0,7.39,,18.0,0.0,,,Food_4.csv
"INF FORMULA, GERBER, GOOD START 2 SOY,W/ IRON,RTF",65.0,1.84,7.15,3.28,0.0,7.14,,26.0,0.0,,,Food_4.csv
"INF FORMULA,GERBER,GOOD START,PROTECT PLUS,RTF",65.0,1.44,7.17,3.36,0.0,7.17,,18.0,0.0,,,Food_4.csv
"INF FORMULA,GERBER GOOD START 2,GENTLE PLUS,RTF",66.0,1.44,7.61,3.34,0.0,7.61,,18.0,0.0,,,Food_4.csv
"INF FORMULA, GERBER, GOOD START 2,PROTECT PLUS, RTF",66.0,1.44,7.39,3.37,0.0,7.34,,18.0,0.0,,,Food_4.csv
"INF FORMULA, ABBO NU,SIMIL,GO & GR,RTF,W/ ARA & DHA",66.0,1.97,6.69,3.54,0.0,6.69,,20.0,0.0,,,Food_4.csv
"INF FORMU, ABBO NUTR, SIMIL, EXPERT CARE, DIARRH RT",66.0,1.76,6.67,3.6,0.7,6.66,,29.0,0.0,,,Food_4.csv
"INF FORMULA, ABBO NUTR, SIMIL, FOR SPIT UP, RTF,W/ ARA & DHA",66.0,1.4,7.19,3.54,0.0,7.19,,20.0,0.0,,,Food_4.csv
"BABYFD,FRU,BAN AND STRAW, JU",109.0,0.71,25.78,0.37,1.4,19.29,,1.0,0.0,,,Food_4.csv
"BABYFOO,BAN WI MIX BERR,ST",92.0,1.01,21.31,0.36,1.0,15.0,,0.0,0.0,,,Food_4.csv
"Babyfood, Multigrain whole grain cereal, dry fortified",407.0,6.67,80.06,6.67,6.7,26.67,,33.0,0.0,,,Food_4.csv
"BABYFOOD,BABY MUM MUM RICE BISCUITS",391.0,12.5,83.21,0.87,0.0,12.5,,313.0,0.0,,,Food_4.csv
"BABYFD,SNK,GE,GRAD,LIL CRUNCH,BKD,WHLGRN,CORN SNK",503.0,0.0,61.59,28.57,0.0,0.0,,71.0,13.0,,,Food_4.csv
"INF FORMULA, ABBOTT NUTRIT, SIMILAC, FOR SPIT UP, POW",514.0,11.0,55.0,27.75,0.0,55.0,,154.0,0.0,,,Food_4.csv
"FAT,BEEF TALLOW",902.0,0.0,0.0,100.0,0.0,0.0,,0.0,109.0,,,Food_4.csv
LARD,902.0,0.0,0.0,100.0,0.0,0.0,,0.0,95.0,,,Food_4.csv
"SALAD DRSNG,KRAFT MAYO LT MAYO",334.0,0.6,8.5,32.9,0.1,4.2,,633.0,35.0,,,Food_4.csv
"SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG",64.0,0.2,15.8,0.0,2.0,6.8,,750.0,0.0,,,Food_4.csv
"SALAD DRSNG,KRAFT MIRACLE WHIP FREE NONFAT DRSNG",84.0,0.2,15.5,2.7,1.9,10.3,,788.0,9.0,,,Food_4.csv
"SALAD DRSNG,RUSSIAN DRSNG",355.0,0.69,31.9,26.18,0.7,17.68,,1133.0,0.0,,,Food_4.csv
"SALAD DRSNG,SESAME SD DRSNG,REG",443.0,3.1,8.6,45.2,1.0,8.32,,1000.0,0.0,,,Food_4.csv
"SALAD DRSNG,1000 ISLAND,COMM,REG",379.0,1.09,14.64,35.06,0.8,15.18,,962.0,26.0,,,Food_4.csv
"SALAD DRSNG,MAYO TYPE,REG,W/SALT",250.0,0.65,14.78,21.6,0.0,10.02,,653.0,19.0,,,Food_4.csv
"SALAD DRSNG,FRENCH DRSNG,RED FAT",222.0,0.58,31.22,11.52,1.5,16.86,,838.0,0.0,,,Food_4.csv
"SALAD DRSNG,ITALIAN DRSNG,COMM,RED FAT",102.0,0.39,9.99,6.68,0.0,9.16,,891.0,0.0,,,Food_4.csv
"SALAD DRSNG,RUSSIAN DRSNG,LO CAL",141.0,0.5,27.6,4.0,0.3,21.87,,868.0,6.0,,,Food_4.csv
"SALAD DRSNG,1000 ISLAND DRSNG,RED FAT",195.0,0.83,24.06,11.32,1.2,17.31,,955.0,11.0,,,Food_4.csv
"SALAD DRSNG,MAYO,REG",680.0,0.96,0.57,74.85,0.0,0.57,,635.0,42.0,,,Food_4.csv
"SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT",717.0,1.1,2.7,79.4,0.0,0.48,,568.0,59.0,,,Food_4.csv
"SALAD DRSNG,MAYO,IMITN,SOYBN",232.0,0.3,16.0,19.2,0.0,6.0,,497.0,24.0,,,Food_4.csv
"SALAD DRSNG,MAYO,IMITN,MILK CRM",97.0,2.1,11.1,5.1,0.0,,,504.0,43.0,,,Food_4.csv
"SALAD DRSNG,MAYO,IMITN,SOYBN WO/CHOL",482.0,0.1,15.8,47.7,0.0,6.0,,353.0,0.0,,,Food_4.csv
"SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS",389.0,0.9,22.4,34.0,0.4,15.18,,1000.0,76.0,,,Food_4.csv
"SHORTENING,HOUSEHOLD,PARTIALLY HYDROG SOYBN -COTTONSEED",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,RICE BRAN",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,WHEAT GERM",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,PNUT,SALAD OR COOKING",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,SOYBN,SALAD OR COOKING",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,COCNT",892.0,0.0,0.0,99.06,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,OLIVE,SALAD OR COOKING",884.0,0.0,0.0,100.0,0.0,0.0,,2.0,0.0,,,Food_4.csv
"OIL,PALM",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,SESAME,SALAD OR COOKING",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"MARGARINE,REG,HARD,SOYBN (HYDR)",719.0,0.9,0.9,80.5,0.0,0.0,,943.0,0.0,,,Food_4.csv
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG",240.0,0.41,12.12,21.12,0.0,10.77,,993.0,0.0,,,Food_4.csv
"SALAD DRSNG,FRENCH DRSNG,COMM,REG",457.0,0.77,15.58,44.81,0.0,15.95,,836.0,0.0,,,Food_4.csv
"SALAD DRSNG,FRENCH,HOME RECIPE",631.0,0.1,3.4,70.2,0.0,,,658.0,0.0,,,Food_4.csv
"SALAD DRSNG,HOME RECIPE,VINEGAR&OIL",449.0,0.0,2.5,50.1,0.0,2.5,,1.0,0.0,,,Food_4.csv
"SALAD DRSNG,FRENCH DRSNG,COMM,REG,WO/ SALT",459.0,0.77,15.58,44.81,0.0,15.95,,0.0,0.0,,,Food_4.csv
"SALAD DRSNG,FRENCH DRSNG,RED FAT,WO/ SALT",233.0,0.58,29.28,13.46,1.1,28.45,,30.0,0.0,,,Food_4.csv
"SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT",292.0,0.38,10.43,28.37,0.0,8.32,,30.0,67.0,,,Food_4.csv
"SALAD DRSNG,ITALIAN DRSNG,RED FAT,WO/ SALT",76.0,0.47,4.57,6.38,0.0,4.55,,30.0,6.0,,,Food_4.csv
"SALAD DRSNG,MAYO,SOYBN OIL,WO/SALT",717.0,1.1,2.7,79.4,0.0,,,30.0,59.0,,,Food_4.csv
"SALAD DRSNG,FRENCH,CTTNSD,OIL,HOME RECIPE",631.0,0.1,3.4,70.2,0.0,,,658.0,0.0,,,Food_4.csv
"SALAD DRSNG,FRENCH DRSNG,FAT-FREE",132.0,0.2,32.14,0.27,2.2,16.45,,853.0,0.0,,,Food_4.csv
"OIL,COCOA BUTTER",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,CTTNSD,SALAD OR COOKING",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,SAFFLOWER,SALAD OR COOKING,HI OLEIC",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"VEGETABLE OIL,PALM KERNEL",862.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,POPPYSEED",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,TOMATOSEED",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,TEASEED",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,GRAPESEED",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING",900.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"FAT,MUTTON TALLOW",902.0,0.0,0.0,100.0,0.0,0.0,,0.0,102.0,,,Food_4.csv
"OIL,WALNUT",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,ALMOND",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,APRICOT KERNEL",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,SOYBN LECITHIN",763.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,HAZELNUT",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,BABASSU",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,SHEANUT",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,COMM,REG",484.0,1.37,4.77,51.1,0.4,3.48,,642.0,31.0,,,Food_4.csv
"OIL,CUPU ASSU",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"FAT,CHICKEN",900.0,0.0,0.0,99.8,0.0,0.0,,0.0,85.0,,,Food_4.csv
"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED) & CTTNSD",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"SHORTENING,HOUSEHOLD,LARD&VEG OIL",900.0,0.0,0.0,100.0,0.0,0.0,,0.0,56.0,,,Food_4.csv
"OIL,SUNFLOWER,LINOLEIC,(PARTIALLY HYDROGENATED)",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"SHORTENING BREAD,SOYBN (HYDR)&CTTNSD",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR)",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"SHORTENING INDUSTRIAL,LARD&VEG OIL",900.0,0.0,0.0,100.0,0.0,,,0.0,56.0,,,Food_4.csv
"SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD",900.0,0.0,0.0,100.0,0.0,,,0.0,100.0,,,Food_4.csv
"SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR)",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"SHORTENING FRYING (HVY DUTY),PALM (HYDR)",884.0,0.0,0.0,100.0,0.0,,,0.0,0.0,,,Food_4.csv
SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884.0,0.0,0.0,100.0,0.0,,,0.0,0.0,,,Food_4.csv
"SHORTENING,CONFECTIONERY,FRACTIONATED PALM",884.0,0.0,0.0,100.0,0.0,,,0.0,0.0,,,Food_4.csv
"OIL,NUTMEG BUTTER",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,UCUHUBA BUTTER",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"FAT,DUCK",882.0,0.0,0.0,99.8,0.0,0.0,,0.0,100.0,,,Food_4.csv
"FAT,TURKEY",900.0,0.0,0.0,99.8,0.0,0.0,,0.0,102.0,,,Food_4.csv
"FAT,GOOSE",900.0,0.0,0.0,99.8,0.0,,,0.0,100.0,,,Food_4.csv
"OIL,AVOCADO",884.0,0.0,0.0,100.0,0.0,,,0.0,,,,Food_4.csv
"OIL,CANOLA",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,MUSTARD",884.0,0.0,0.0,100.0,0.0,,,0.0,,,,Food_4.csv
"MARGARINE-LIKE,MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER",727.0,0.31,0.77,80.32,0.0,0.0,,719.0,12.0,,,Food_4.csv
"SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR)",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,OAT",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"FISH OIL,COD LIVER",902.0,0.0,0.0,100.0,0.0,,,0.0,570.0,,,Food_4.csv
"FISH OIL,HERRING",902.0,0.0,0.0,100.0,0.0,,,0.0,766.0,,,Food_4.csv
"FISH OIL,MENHADEN",902.0,0.0,0.0,100.0,0.0,,,0.0,521.0,,,Food_4.csv
"FISH OIL,MENHADEN,FULLY HYDR",902.0,0.0,0.0,100.0,0.0,,,0.0,500.0,,,Food_4.csv
"FISH OIL,SALMON",902.0,0.0,0.0,100.0,0.0,,,0.0,485.0,,,Food_4.csv
"FISH OIL,SARDINE",902.0,0.0,0.0,100.0,0.0,,,0.0,710.0,,,Food_4.csv
"SHORTENING,MULTIPURPOSE,SOYBN (HYDR)&PALM (HYDR)",884.0,0.0,0.0,100.0,0.0,,,0.0,0.0,,,Food_4.csv
"MARGARINE-LIKE,VEG OIL-BUTTER SPRD,TUB,W/ SALT",362.0,1.0,1.0,40.0,0.0,0.0,,786.0,0.0,,,Food_4.csv
"BUTTER,LT,STK,W/SALT",499.0,3.3,0.0,55.1,0.0,0.0,,450.0,106.0,,,Food_4.csv
"BUTTER,LT,STK,WO/SALT",499.0,3.3,0.0,55.1,0.0,0.0,,36.0,106.0,,,Food_4.csv
"MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW)",889.0,0.0,0.0,98.59,0.0,0.0,,545.0,101.0,,,Food_4.csv
"ANIMAL FAT,BACON GREASE",897.0,0.0,0.0,99.5,0.0,0.0,,150.0,95.0,,,Food_4.csv
"SHORTENING,VEG,HOUSEHOLD,COMP",884.0,0.0,0.0,99.97,0.0,0.0,,4.0,0.0,,,Food_4.csv
"MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT",43.0,1.5,2.5,3.0,0.0,0.0,,833.0,1.0,,,Food_4.csv
"MARGARINE-LIKE,VEG OIL SPRD,FAT-FREE,TUB",44.0,0.1,4.34,3.04,0.0,0.0,,580.0,0.0,,,Food_4.csv
"SALAD DRSNG,1000 ISLAND DRSNG,FAT-FREE",132.0,0.55,29.27,1.45,3.3,16.83,,788.0,5.0,,,Food_4.csv
"SALAD DRSNG,ITALIAN DRSNG,FAT-FREE",47.0,0.97,8.75,0.87,0.6,8.85,,1129.0,2.0,,,Food_4.csv
"SALAD DRSNG,RANCH DRSNG,FAT-FREE",119.0,0.25,26.51,1.92,0.1,5.35,,897.0,7.0,,,Food_4.csv
"SALAD DRSNG,RANCH DRSNG,REG",430.0,1.32,5.9,44.54,0.0,4.69,,901.0,26.0,,,Food_4.csv
"SALAD DRSNG,RANCH DRSNG,RED FAT",196.0,1.25,21.33,12.42,1.1,3.77,,1120.0,16.0,,,Food_4.csv
"SALAD DRSNG,MAYO,LT",238.0,0.37,9.23,22.22,0.0,3.56,,827.0,16.0,,,Food_4.csv
"OIL,INDUSTRIAL,MID-OLEIC,SUNFLOWER",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,INDUSTRIAL,CANOLA W/ ANTIFOAMING AGENT",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,INDUSTRIAL,CANOLA FOR SALADS,WOKS & LT FRYING",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,INDUS,CANOLA (PART HYDROG) OIL FOR DEEP FAT FRYING",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,INDUSTRIAL,COCNT",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,INDUSTRIAL,SOY (PART HYDR),FOR POPCORN & FLAVORING VEG",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"SHORTENING,INDUS,SOY (PART HYDROG),POURABLE LIQ FRY",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,INDUSTRIAL,SOY,REFINED,FOR WOKS & LT FRYING",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,INDUSTRIAL,SOY (PART HYDR),FOR NON-DAIRY BUTTER FLAVOR",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,INDUSTRIAL,SOY ( PART HYDROGENATED),ALLPURP",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
"OIL,INDUSTRIAL,SOY (PART HYDR ) & SOY,POURABLE FRY",884.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,Food_4.csv
